city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Dhūlia,20.9,74.7833,India,IN,Mahārāshtra,,479073,479073
Amrāvati,20.9333,77.75,India,IN,Mahārāshtra,,549370,549370
Jalgaon,21.0167,75.5667,India,IN,Mahārāshtra,,460468,460468
Bhusāval,21.02,75.83,India,IN,Mahārāshtra,,183001,183001
Nāgpur,21.1539,79.0831,India,IN,Mahārāshtra,,2405665,2405665
Sūrat,21.17,72.83,India,IN,Gujarāt,,5807000,5807000
Drug,21.19,81.28,India,IN,Chhattīsgarh,,268806,268806
Bhilai,21.2167,81.4333,India,IN,Chhattīsgarh,,1097000,1097000
Raipur,21.2379,81.6337,India,IN,Chhattīsgarh,admin,1010087,1010087
Burhānpur,21.3004,76.13,India,IN,Madhya Pradesh,,197233,197233
Sambalpur,21.4704,83.9701,India,IN,Odisha,,310852,310852
Porbandar,21.6425,69.6047,India,IN,Gujarāt,,234684,234684
Sihor,21.7,71.97,India,IN,Gujarāt,,52603,52603
Bhāvnagar,21.765,72.1369,India,IN,Gujarāt,,554978,554978
Nāndod,21.8704,73.5026,India,IN,Gujarāt,,54923,54923
Haldia,22.0257,88.0583,India,IN,West Bengal,,200762,200762
Jasdan,22.03,71.2,India,IN,Gujarāt,,48483,48483
Bilāspur,22.15,82.0167,India,IN,Chhattīsgarh,,331030,331030
Jaynagar-Majilpur,22.1772,88.4258,India,IN,West Bengal,,25922,25922
Bārāsat,22.2333,88.45,India,IN,West Bengal,,278435,278435
Dwārka,22.2403,68.9686,India,IN,Gujarāt,,38873,38873
Raurkela,22.2492,84.8828,India,IN,Odisha,,625831,625831
Rājkot,22.2969,70.7984,India,IN,Gujarāt,,1335397,1335397
Vadodara,22.3,73.2,India,IN,Gujarāt,,2065771,2065771
Khambhāt,22.3131,72.6194,India,IN,Gujarāt,,98700,98700
Kharagpur,22.3302,87.3237,India,IN,West Bengal,,207604,207604
Medinīpur,22.4333,87.3333,India,IN,West Bengal,,169264,169264
Jāmnagar,22.47,70.07,India,IN,Gujarāt,,479920,479920
Uluberiya,22.47,88.11,India,IN,West Bengal,,235345,235345
Kolkāta,22.5411,88.3378,India,IN,West Bengal,admin,17560000,17560000
Hāora,22.59,88.31,India,IN,West Bengal,,1077075,1077075
Dam Dam,22.62,88.42,India,IN,West Bengal,,114786,114786
Bāli,22.65,88.34,India,IN,West Bengal,,293373,293373
Basīrhat,22.6572,88.8942,India,IN,West Bengal,,125254,125254
Kāmārhāti,22.67,88.37,India,IN,West Bengal,,330211,330211
Amarkantak,22.6751,81.7596,India,IN,Chhattīsgarh,,7074,7074
Betma,22.68,75.62,India,IN,Madhya Pradesh,,12529,12529
Pānihāti,22.69,88.37,India,IN,West Bengal,,377347,377347
Chakradharpur,22.7,85.63,India,IN,Jharkhand,,197953,197953
Madhyamgram,22.7,88.45,India,IN,West Bengal,,196127,196127
Rishra,22.71,88.35,India,IN,West Bengal,,124577,124577
Dholka,22.72,72.47,India,IN,Gujarāt,,53792,53792
Khardah,22.72,88.38,India,IN,West Bengal,,108496,108496
Indore,22.7206,75.8472,India,IN,Madhya Pradesh,,2201927,2201927
Titāgarh,22.74,88.37,India,IN,West Bengal,,116541,116541
Shrīrāmpur,22.75,88.34,India,IN,West Bengal,,181842,181842
Godhra,22.7755,73.6149,India,IN,Gujarāt,,161925,161925
Baidyabāti,22.79,88.32,India,IN,West Bengal,,121110,121110
Jamshedpur,22.8,86.1833,India,IN,Jharkhand,,1558000,1558000
Champdani,22.8,88.37,India,IN,West Bengal,,111251,111251
Bhadreswar,22.82,88.35,India,IN,West Bengal,,101477,101477
Hābra,22.83,88.63,India,IN,West Bengal,,147221,147221
Mundra,22.85,69.73,India,IN,Gujarāt,,20338,20338
Chandannagar,22.8667,88.3833,India,IN,West Bengal,,166867,166867
Bhātpāra,22.8667,88.4167,India,IN,West Bengal,,386019,386019
Hugli,22.9,88.39,India,IN,West Bengal,,179931,179931
Naihāti,22.9,88.42,India,IN,West Bengal,,217900,217900
Hālīsahar,22.95,88.42,India,IN,West Bengal,,124939,124939
Bānsbāria,22.97,88.4,India,IN,West Bengal,,103920,103920
Kānchrāpāra,22.97,88.43,India,IN,West Bengal,,129576,129576
Kalyani,22.975,88.4344,India,IN,West Bengal,,100575,100575
Ahmadābād,23.03,72.58,India,IN,Gujarāt,minor,7410000,7410000
Bangaon,23.07,88.82,India,IN,West Bengal,,108864,108864
Jabalpur,23.1667,79.9333,India,IN,Madhya Pradesh,,1267564,1267564
Ujjain,23.1828,75.7772,India,IN,Madhya Pradesh,,515215,515215
Ghāndīnagar,23.22,72.68,India,IN,Gujarāt,admin,195891,195891
Bhopāl,23.25,77.4167,India,IN,Madhya Pradesh,admin,1883381,1883381
Bānkura,23.25,87.0667,India,IN,West Bengal,,137386,137386
Barddhamān,23.25,87.85,India,IN,West Bengal,,314265,314265
Shāntipur,23.25,88.43,India,IN,West Bengal,,151777,151777
Bhuj,23.2504,69.81,India,IN,Gujarāt,,289429,289429
Naliya,23.2611,68.8267,India,IN,Gujarāt,,11415,11415
Ratlām,23.3167,75.0667,India,IN,Madhya Pradesh,,273892,273892
Rānchi,23.3556,85.3347,India,IN,Jharkhand,admin,1073440,1073440
Krishnanagar,23.4,88.5,India,IN,West Bengal,,153062,153062
Navadwīp,23.4088,88.3657,India,IN,West Bengal,,125543,125543
Meghraj,23.5,73.5,India,IN,Gujarāt,,11363,11363
Vidisha,23.5239,77.8061,India,IN,Madhya Pradesh,,155959,155959
Umaria,23.5245,80.8365,India,IN,Madhya Pradesh,,33114,33114
Durgāpur,23.55,87.32,India,IN,West Bengal,,566517,566517
Mahesāna,23.6,72.4,India,IN,Gujarāt,,184991,184991
Āsansol,23.6833,86.9667,India,IN,West Bengal,,563917,563917
Jāmuria,23.7,87.08,India,IN,West Bengal,,149220,149220
Āīzawl,23.7104,92.72,India,IN,Mizoram,admin,283021,283021
Kulti,23.73,86.85,India,IN,West Bengal,,313809,313809
Dhanbād,23.7928,86.435,India,IN,Jharkhand,,1246000,1246000
Agartala,23.8333,91.2667,India,IN,Tripura,admin,522613,522613
Saugor,23.8504,78.75,India,IN,Madhya Pradesh,,328240,328240
Khed Brahma,24.0299,73.0463,India,IN,Gujarāt,,25001,25001
Mandsaur,24.03,75.08,India,IN,Madhya Pradesh,,141667,141667
Baharampur,24.1,88.25,India,IN,West Bengal,,195223,195223
Sannai,24.16,80.83,India,IN,Madhya Pradesh,,283004,283004
Maihar,24.27,80.75,India,IN,Madhya Pradesh,,40192,40192
Udaipur,24.5833,73.6833,India,IN,Rājasthān,,451100,451100
Abu,24.5925,72.7083,India,IN,Rājasthān,,22943,22943
Deo,24.6561,84.4356,India,IN,Bihār,,173216,173216
Gaya,24.75,85.0167,India,IN,Bihār,,474093,474093
Aurangābād,24.7704,84.38,India,IN,Bihār,,95929,95929
Silchar,24.7904,92.79,India,IN,Assam,,152393,152393
Imphāl,24.82,93.95,India,IN,Manipur,admin,268243,268243
Khajurāho,24.85,79.9333,India,IN,Madhya Pradesh,,24481,24481
Mahadipur,24.8566,88.1248,India,IN,West Bengal,,8638,8638
Chittaurgarh,24.8894,74.6239,India,IN,Rājasthān,,116406,116406
Ingrāj Bāzār,25,88.15,India,IN,West Bengal,,205521,205521
Rājgīr,25.03,85.42,India,IN,Bihār,,41587,41587
Rājmahal,25.05,87.84,India,IN,West Bengal,,17974,17974
Mirzāpur,25.15,82.58,India,IN,Uttar Pradesh,,2496970,2496970
Kota,25.18,75.83,India,IN,Rājasthān,,1001694,1001694
Bālurghāt,25.2167,88.7667,India,IN,West Bengal,,153279,153279
Bhāgalpur,25.25,87.0167,India,IN,Bihār,,410210,410210
Vārānasi,25.3189,83.0128,India,IN,Uttar Pradesh,,1198491,1198491
Jalor,25.35,72.6167,India,IN,Rājasthān,,54081,54081
Bhīlwāra,25.35,74.6333,India,IN,Rājasthān,,389911,389911
Orchha,25.35,78.64,India,IN,Madhya Pradesh,,11511,11511
Begusarai,25.42,86.13,India,IN,Bihār,,252008,252008
Jhānsi,25.4486,78.5696,India,IN,Uttar Pradesh,,507000,507000
Allahābād,25.455,81.84,India,IN,Uttar Pradesh,,1201000,1201000
Shillong,25.5744,91.8789,India,IN,Meghālaya,admin,143229,143229
Patna,25.61,85.1414,India,IN,Bihār,admin,1684222,1684222
Rāiganj,25.6167,88.1167,India,IN,West Bengal,,183612,183612
Kohīma,25.6667,94.1194,India,IN,Nāgāland,admin,99039,99039
Jaunpur,25.7333,82.6833,India,IN,Uttar Pradesh,,180362,180362
Pāli,25.7725,73.3233,India,IN,Rājasthān,,229956,229956
Purnea,25.78,87.47,India,IN,Bihār,,310817,310817
Saharsa,25.88,86.6,India,IN,Bihār,,156540,156540
Fatehpur,25.8804,80.8,India,IN,Uttar Pradesh,,166480,166480
Gauripur,26.08,89.97,India,IN,Assam,,23477,23477
Muzaffarpur,26.12,85.3833,India,IN,Bihār,,333200,333200
Dispur,26.15,91.77,India,IN,Assam,admin,957352,957352
Tonk,26.1505,75.79,India,IN,Rājasthān,,181734,181734
Guwāhāti,26.1667,91.7667,India,IN,Assam,,957352,957352
Gwalior,26.215,78.1931,India,IN,Madhya Pradesh,,1101981,1101981
Jodhpur,26.2918,73.0168,India,IN,Rājasthān,,995000,995000
Ajmer,26.468,74.639,India,IN,Rājasthān,,542321,542321
Cawnpore,26.4725,80.3311,India,IN,Uttar Pradesh,,2701324,2701324
Alīpur Duār,26.4837,89.5667,India,IN,West Bengal,,127342,127342
Pushkar,26.5,74.55,India,IN,Rājasthān,,21626,21626
Jalpāiguri,26.5167,88.7333,India,IN,West Bengal,,107341,107341
Tezpur,26.6338,92.8,India,IN,Assam,,58851,58851
Shiliguri,26.72,88.42,India,IN,West Bengal,,294546,294546
Jorhāt,26.75,94.2167,India,IN,Assam,,69033,69033
Fyzābād,26.7504,82.17,India,IN,Uttar Pradesh,,153047,153047
Gorakhpur,26.7611,83.3667,India,IN,Uttar Pradesh,,673446,673446
Etāwah,26.7855,79.015,India,IN,Uttar Pradesh,,257448,257448
Lucknow,26.847,80.947,India,IN,Uttar Pradesh,admin,3382000,3382000
Jaisalmer,26.9167,70.9167,India,IN,Rājasthān,,65471,65471
Jaipur,26.9167,75.8667,India,IN,Rājasthān,admin,3073350,3073350
Darjeeling,27.0417,88.2631,India,IN,West Bengal,,118805,118805
Fatehpur Sīkri,27.0911,77.6611,India,IN,Uttar Pradesh,,32905,32905
Itānagar,27.1,93.62,India,IN,Arunāchal Pradesh,admin,59490,59490
Fīrozābād,27.15,78.3949,India,IN,Uttar Pradesh,,306409,306409
Āgra,27.18,78.02,India,IN,Uttar Pradesh,,1585705,1585705
Bharatpur,27.2172,77.49,India,IN,Rājasthān,,252342,252342
Gangtok,27.33,88.62,India,IN,Sikkim,admin,100286,100286
Mathura,27.4833,77.6833,India,IN,Uttar Pradesh,,330511,330511
Dibrugarh,27.4833,95,India,IN,Assam,,154019,154019
Alwar,27.5667,76.6167,India,IN,Rājasthān,,341422,341422
Vrindāvan,27.5806,77.7006,India,IN,Uttar Pradesh,,56618,56618
Hāthras,27.6,78.05,India,IN,Uttar Pradesh,,126882,126882
Sīkar,27.6119,75.1397,India,IN,Rājasthān,,400000,400000
Bahraigh,27.6204,81.6699,India,IN,Uttar Pradesh,,182218,182218
Sitalpur,27.63,80.75,India,IN,Uttar Pradesh,,164435,164435
Barehra,27.75,78.5667,India,IN,Uttar Pradesh,,19542,19542
Alīgarh,27.88,78.08,India,IN,Uttar Pradesh,,1131160,1131160
Shāhjānpur,27.8804,79.905,India,IN,Uttar Pradesh,,320434,320434
Bīkaner,28.0181,73.3169,India,IN,Rājasthān,,529007,529007
Budaun,28.03,79.09,India,IN,Uttar Pradesh,,161555,161555
Bareilly,28.364,79.415,India,IN,Uttar Pradesh,,1000000,1000000
Bulandshahr,28.4104,77.8484,India,IN,Uttar Pradesh,,198612,198612
Farīdābād,28.4333,77.3167,India,IN,Haryāna,,1394000,1394000
Gurgaon,28.45,77.02,India,IN,Haryāna,,197340,197340
Sambhal,28.58,78.55,India,IN,Uttar Pradesh,,220813,220813
Pīlibhīt,28.64,79.81,India,IN,Uttar Pradesh,,131008,131008
Delhi,28.66,77.23,India,IN,Delhi,admin,29617000,29617000
Ghāziābād,28.6667,77.4167,India,IN,Uttar Pradesh,,2381452,2381452
New Delhi,28.7,77.2,India,IN,Delhi,primary,142004,142004
Hāpur,28.7437,77.7628,India,IN,Uttar Pradesh,,242920,242920
Bhiwāni,28.7833,76.1333,India,IN,Haryāna,,197662,197662
Rāmpur,28.8154,79.025,India,IN,Uttar Pradesh,,296418,296418
Morādābād,28.8418,78.7568,India,IN,Uttar Pradesh,,787000,787000
Rohtak,28.9,76.5667,India,IN,Haryāna,,374292,374292
Meerut,28.99,77.7,India,IN,Uttar Pradesh,,1305429,1305429
Sonīpat,28.9958,77.0114,India,IN,Haryāna,,250521,250521
Hisar,29.1489,75.7367,India,IN,Haryāna,,307024,307024
Naini Tal,29.3919,79.4542,India,IN,Uttarakhand,,41377,41377
Kairāna,29.4,77.2,India,IN,Uttar Pradesh,,73046,73046
Pānīpat,29.4004,76.97,India,IN,Haryāna,,292808,292808
Muzaffarnagar,29.4708,77.7033,India,IN,Uttar Pradesh,,392451,392451
Sirsa,29.4904,75.03,India,IN,Haryāna,,181639,181639
Karnāl,29.6804,76.97,India,IN,Haryāna,,225049,225049
Lansdowne,29.83,78.68,India,IN,Uttarakhand,,5667,5667
Sahāranpur,29.964,77.546,India,IN,Uttar Pradesh,,705478,705478
Abohar,30.1204,74.29,India,IN,Punjab,,130603,130603
Malaut,30.19,74.499,India,IN,Punjab,,70958,70958
Dehra Dūn,30.318,78.029,India,IN,Uttarakhand,admin,578420,578420
Patiāla,30.3204,76.385,India,IN,Punjab,,329224,329224
Ambāla,30.3786,76.7725,India,IN,Haryāna,,146787,146787
Panchkula,30.6915,76.8537,India,IN,Haryāna,minor,,
Mauli,30.7194,76.7181,India,IN,Punjab,,146213,146213
Chandīgarh,30.7353,76.7911,India,IN,Chandīgarh,admin,1026459,1026459
Ludhiāna,30.9083,75.8486,India,IN,Punjab,,1649000,1649000
Solan,30.92,77.12,India,IN,Himāchal Pradesh,,39256,39256
Shimla,31.1033,77.1722,India,IN,Himāchal Pradesh,admin,206575,206575
Khem Karan,31.16,74.66,India,IN,Punjab,,11938,11938
Jalandhar,31.3256,75.5792,India,IN,Punjab,,873725,873725
Harīpur,31.52,75.98,India,IN,Punjab,,158142,158142
Amritsar,31.6167,74.85,India,IN,Punjab,,1132383,1132383
Kulu,31.96,77.1,India,IN,Himāchal Pradesh,,18536,18536
Manāli,32.2044,77.17,India,IN,Himāchal Pradesh,,8096,8096
Dharmsāla,32.2167,76.3167,India,IN,Himāchal Pradesh,,19034,19034
Pathānkot,32.2689,75.6497,India,IN,Punjab,,155909,155909
Jammu,32.7333,74.85,India,IN,Jammu and Kashmīr,,502197,502197
Udhampur,32.93,75.13,India,IN,Jammu and Kashmīr,,35507,35507
Rajaori,33.38,74.3,India,IN,Jammu and Kashmīr,,41552,41552
Kulgam,33.64,75.02,India,IN,Jammu and Kashmīr,,23584,23584
Srīnagar,34.0911,74.8061,India,IN,Jammu and Kashmīr,admin,1180570,1180570
Bāramūla,34.2,74.34,India,IN,Jammu and Kashmīr,,167986,167986
Sopur,34.3,74.47,India,IN,Jammu and Kashmīr,,118608,118608
Handwāra,34.4,74.28,India,IN,Jammu and Kashmīr,,269311,269311
Bandipura,34.4225,74.6375,India,IN,Jammu and Kashmīr,,27482,27482
